Collector,Year,Month,Location,Site,SiteID,SiteGrp,Depth,Transect,Transect_ID,T. length,Branching Coral,Rubble,Rock,Sand,Sponge,Plate coral,CCA,Turf Algae,Macro Algae,Branching Coral Avg,Rubble Avg,Rock Avg,Sand Avg,Sponge Avg,Plate coral Avg,CCA Avg,Turf Algae Avg,Macro Algae Avg
Mat,2021,Sep,L1,S3,L1S3,B,D2,1,Mat2021SepL1S3L1S3BD2,50,60,6,0,8,2,0,6,18,0,62.5,9.166666667,0.166666667,15.83333333,1.666666667,0,3,6.833333333,0.833333333
Mat,2021,Oct,L1,S1,L1S1,A,D1,1,Mat2021OctL1S1L1S1AD1,50,10,20,0,22,12,0,8,28,0,18.5,27.5,3.666666667,26,8.333333333,0,2.5,13.16666667,0.333333333
Mat,2021,Oct,L1,S1,L1S1,A,D2,1,Mat2021OctL1S1L1S1AD2,50,30,28,0,6,8,0,8,20,0,31.16666667,20.66666667,5,15.66666667,11.16666667,0,2.666666667,13.5,0.166666667
Mat,2021,Oct,L1,S2,L1S2,C,D1,1,Mat2021OctL1S2L1S2CD1,50,48,6,0,10,2,0,6,26,2,46.83333333,5.833333333,0,6.5,2.833333333,1.5,6.5,23.5,6.5
Mat,2021,Oct,L1,S2,L1S2,C,D2,1,Mat2021OctL1S2L1S2CD2,50,52,12,0,12,0,0,10,10,4,50.5,16,0.5,8.333333333,3,0,9.166666667,9.833333333,2.666666667
Mat,2021,Oct,L1,S3,L1S3,B,D1,1,Mat2021OctL1S3L1S3BD1,50,62,0,0,10,0,0,6,20,2,60.83333333,1.333333333,0.833333333,11.83333333,3.666666667,0,5.833333333,11.5,4.166666667
Mat,2021,Oct,L1,S3,L1S3,B,D2,1,Mat2021OctL1S3L1S3BD2,50,72,6,0,12,2,0,4,4,0,62.5,9.166666667,0.166666667,15.83333333,1.666666667,0,3,6.833333333,0.833333333
Mat,2021,Nov,L1,S1,L1S1,A,D1,1,Mat2021NovL1S1L1S1AD1,50,22,6,2,42,10,0,0,18,0,18.5,27.5,3.666666667,26,8.333333333,0,2.5,13.16666667,0.333333333
Mat,2021,Nov,L1,S1,L1S1,A,D2,1,Mat2021NovL1S1L1S1AD2,50,34,10,0,24,12,0,0,20,0,31.16666667,20.66666667,5,15.66666667,11.16666667,0,2.666666667,13.5,0.166666667
Mat,2021,Nov,L1,S2,L1S2,C,D1,1,Mat2021NovL1S2L1S2CD1,50,56,0,0,8,2,0,10,14,10,46.83333333,5.833333333,0,6.5,2.833333333,1.5,6.5,23.5,6.5
